#CODE;ENGLISH;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
noliege_conquest_counts_desc;Counts with no de jure liege can claim neighboring counties for the creation of their own duchy;Counts with no de jure liege can claim neighboring counties to create their own duchy;Counts with no de jure liege can claim neighboring counties to create their own duchy;;Counts with no de jure liege can claim neighboring counties to create their own duchy;;;;;;;;;
CB_NAME_NOLIEGE_COUNTS;Conquest of [Title.GetName];Conquest of [Title.GetName];Conquest of [Title.GetName];;Conquest of [Title.GetName];;;;;;;;;
WAR_NAME_NOLIEGE_COUNTS;$ORDER$$FIRST_ADJ$ duke ambition conquest of $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ duke ambition conquest of $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ duke ambition conquest of $OTHER_TITLE$;;$ORDER$$FIRST_ADJ$ duke ambition conquest of $OTHER_TITLE$;;;;;;;;;
noliege_conquest_dukes_desc;Dukes with no de jure liege can claim neighboring duchies for the creation of their own kingdom;Counts with no de jure liege can claim neighboring counties to create their own duchy;Counts with no de jure liege can claim neighboring counties to create their own duchy;;Counts with no de jure liege can claim neighboring counties to create their own duchy;;;;;;;;;
CB_NAME_NOLIEGE_DUKES;Conquest of [Title.GetName];Conquest of [Title.GetName];Conquest of [Title.GetName];;Conquest of [Title.GetName];;;;;;;;;
WAR_NAME_NOLIEGE_DUKES;$ORDER$$FIRST_ADJ$ king ambition conquest of $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ duke ambition conquest of $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ duke ambition conquest of $OTHER_TITLE$;;$ORDER$$FIRST_ADJ$ duke ambition conquest of $OTHER_TITLE$;;;;;;;;;
noliege_conquest_pap_byz_desc;Counts with no de jure liege can claim neighboring counties for the creation of their own duchy;Counts with no de jure liege can claim neighboring counties for the creation of their own duchy;Counts with no de jure liege can claim neighboring counties for the creation of their own duchy;;Counts with no de jure liege can claim neighboring counties for the creation of their own duchy;;;;;;;;;
CB_NAME_NOLIEGE_PAP_BYZ;Conquest of [Title.GetName];Conquest of [Title.GetName];Conquest of [Title.GetName];;Conquest of [Title.GetName];;;;;;;;;
WAR_NAME_NOLIEGE_PAP_BYZ;$ORDER$$FIRST_ADJ$ duke ambition conquest of $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ duke ambition conquest of $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ duke ambition conquest of $OTHER_TITLE$;;$ORDER$$FIRST_ADJ$ duke ambition conquest of $OTHER_TITLE$;;;;;;;;;
noliege_conquest_islanddukes_desc;Dukes with no de jure liege can claim neighboring duchies for the creation of their own kingdom. Isolated islands can attack further away to create a kingdom.;Dukes with no de jure liege can claim neighboring duchies for the creation of their own kingdom. Isolated islands can attack further away to create a kingdom.;Dukes with no de jure liege can claim neighboring duchies for the creation of their own kingdom. Isolated islands can attack further away to create a kingdom.;;Dukes with no de jure liege can claim neighboring duchies for the creation of their own kingdom. Isolated islands can attack further away to create a kingdom.;;;;;;;;;
CB_NAME_NOLIEGE_ISLANDDUKES;Overseas conquest of [Title.GetName];Overseas conquest of [Title.GetName];Overseas conquest of [Title.GetName];;Overseas conquest of [Title.GetName];;;;;;;;;
WAR_NAME_NOLIEGE_ISLANDDUKES;$ORDER$$FIRST_ADJ$ king ambition overseas conquest of $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ king ambition overseas conquest of $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ king ambition overseas conquest of $OTHER_TITLE$;;$ORDER$$FIRST_ADJ$ king ambition overseas conquest of $OTHER_TITLE$;;;;;;;;;
;;;;;;;;;;;;;;x
BM_AND_OLDGODS;The Old Gods;The Old Gods;The Old Gods;;The Old Gods;;;;;;;;;x
BM_AND_OLDGODS_DESC;The Old Gods;The Old Gods;The Old Gods;;The Old Gods;;;;;;;;;x
BM_AND_STANFORD;Stanford Bridge;Stanford Bridge;Stanford Bridge;;Stanford Bridge;;;;;;;;;x
BM_AND_STANFORD_DESC;Stanford Bridge;Stanford Bridge;Stanford Bridge;;Stanford Bridge;;;;;;;;;x
;;;;;;;;;;;;;;x
d_europa;Europa;Europa;Europa;;Europa;;;;;;;;;x
d_europa_adj;European;European;European;;European;;;;;;;;;x
k_europa;Europa;Europa;Europa;;Europa;;;;;;;;;x
k_europa_adj;European;European;European;;European;;;;;;;;;x